"","Metric","Mean","SD"
"1","Sensitivity",0.875980979659662,0.134917074647266
"2","Specificity",0.956918505942275,0.035241012714927
"3","Precision",0.956918505942275,0.035241012714927
"4","Accuracy",0.940625,0.0220770351049443
"5","Kappa",0.815440867364346,0.0596512895316848
